,0
0,0.00551
1,0.01449
2,0.023469999999999998
3,0.03245
4,0.04143
5,0.05041
6,0.059390000000000005
7,0.06837
8,0.07735
9,0.08632999999999999
10,0.09530999999999999
11,0.10429
12,0.11327
13,0.12225
14,0.13123
15,0.14021
16,0.14919000000000002
17,0.15817
18,0.16715000000000002
19,0.17613
20,0.18511000000000002
21,0.19409
22,0.20307
23,0.21205000000000002
24,0.22103
25,0.23001000000000002
26,0.23899
27,0.24797000000000002
28,0.25695
29,0.26593
30,0.27491
31,0.28389000000000003
32,0.29287
33,0.30185
34,0.31083
35,0.31981000000000004
36,0.32879
37,0.33777
38,0.34675
39,0.35573
40,0.36471000000000003
41,0.37369
42,0.38267
43,0.39165
44,0.40063000000000004
45,0.40961000000000003
46,0.41859
47,0.42757
48,0.43655
49,0.44553000000000004
50,0.45451
51,0.46349
52,0.47247
53,0.48145
54,0.49043000000000003
55,0.49941
56,0.50839
57,0.51737
58,0.52635
59,0.53533
60,0.5443100000000001
61,0.5532900000000001
62,0.56227
63,0.57125
64,0.58023
65,0.58921
66,0.59819
67,0.60717
68,0.61615
69,0.62513
70,0.6341100000000001
71,0.64309
72,0.65207
73,0.66105
74,0.67003
75,0.67901
76,0.68799
77,0.69697
78,0.70595
79,0.7149300000000001
80,0.72391
81,0.73289
82,0.74187
83,0.75085
84,0.75983
85,0.76881
86,0.77779
87,0.78677
88,0.7957500000000001
89,0.8047300000000001
90,0.81371
91,0.82269
92,0.83167
93,0.84065
94,0.84963
95,0.85861
96,0.86759
97,0.8765700000000001
98,0.8855500000000001
99,0.89453
100,0.90351
101,0.91249
102,0.92147
103,0.93045
104,0.93943
105,0.94841
106,0.9573900000000001
107,0.9663700000000001
108,0.97535
109,0.98433
110,0.99331
111,1.00229
112,1.0112700000000001
113,1.02025
114,1.02923
115,1.03821
116,1.04719
117,1.05617
118,1.06515
119,1.07413
120,1.08311
121,1.09209
122,1.10107
123,1.11005
124,1.11903
125,1.12801
126,1.13699
127,1.14597
128,1.15495
129,1.1639300000000001
130,1.1729100000000001
131,1.18189
